Al,Au,Co,Cu,Hf,In,Mn,Mo,Nb,Nd,Ni,Pd,Pt,Sc,Ta,Ti,V,Zr,Zn,composition,formula,Alloy System,avg_first_ion_en_divi_voro_coord,avg_first_ion_en,avg_voro_coord,dev_mol_vol,avg_atom_mass,avg_mol_vol,Delta,NiTiHfCu base,a0 (A),a (A),b (A),c (A),beta,Transformation,lambda1_calculated,lambda2_reported,lambda2_calculated,lambda2_combined,lambda3_calculated,lambda1lambda2lambda3,Hysteresis (C),Hysteresis (C) new,Ms (C),Mf (C),As (C),Af (C),Tc (C),Enthalphy AtoM (J/g),Enthalphy MtoA (J/g),Enthalphy avg (J/g),Density_reported(g/cm^3),Enthalphy AtoM (J/cm3),Enthalphy MtoA (J/cm3),Enthalphy avg (J/cm3),Ref 1,Ref 2,Ref 3,Total
0,0,0,0,0,0,0,0,0,0,50.7,0,0,0,0,49.3,0,0,0,Ni50.7Ti49.3,Ni507Ti493,NiTi,0.69681079,7.23964176,10.521,2.0246031,53.3559848,8.58665,8.5,FALSE,3.009,2.879,4.614,4.139,96.474,B19prime,0.933062454,,0.972653695,0.972653695,1.104767419,1.002627962,,,,,,,,,,,,,,,https://doi.org/10.1016/j.msea.2003.11.062,,,100
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.015,2.889,4.12,4.622,96.8,B19prime,0.932082733,,0.966262003,0.966262003,1.106541107,0.996590899,,,,,,,,,,,,,,,https://doi.org/10.1002/pssa.2210050220,,,100
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.013,2.882,4.123,4.626,97,B19prime,0.929530417,,0.967607454,0.967607454,1.108851652,0.997323974,,,,,,,,,,,,,,,https://doi.org/10.1051/jp4:2003981,,,100
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,,,,,,B19prime,,0.969,,0.969,,,,,,,,,,,,,,,,,https://doi.org/10.1002/adfm.200902336,,,100
0,0,0,0,0,0,0,0,0,0,49.99,0,0,0,0,50.01,0,0,0,Ni49.99Ti50.01,Ni4999Ti5001,NiTi,0.697677203,7.233878832,10.4997,2.024999919,53.27911736,8.615405,8.49,FALSE,,,,,,B19prime,,0.964,,0.964,,,41.5,40.95,65.55,38.55,78.95,107.05,72.525,,,,,177.78,179.44,178.61,https://doi.org/10.1016/j.actamat.2010.02.019,,,100
0,0,0,0,0,0,0,0,0,0,50.19,0,0,0,0,49.81,0,0,0,Ni50.19Ti49.81,Ni5019Ti4981,NiTi,0.697433143,7.235502192,10.5057,2.024970759,53.30077016,8.607305,8.49,FALSE,,,,,,B19prime,,0.965,,0.965,,,40,40.5,52.65,22.95,63.95,92.65,58.05,,,,,155.85,153.59,154.72,https://doi.org/10.1016/j.actamat.2010.02.019,,,100
0,0,0,0,0,0,0,0,0,0,50.39,0,0,0,0,49.61,0,0,0,Ni50.39Ti49.61,Ni5039Ti4961,NiTi,0.697189083,7.237125552,10.5117,2.024876799,53.32242296,8.599205,8.49,FALSE,,,,,,B19prime,,0.967,,0.967,,,37.2,40.35,28.95,2.75,46.25,66.15,36.025,,,,,145.22,140.12,142.67,https://doi.org/10.1016/j.actamat.2010.02.019,,,100
0,0,0,0,0,0,0,0,0,0,49.5,0,0,0,0,50.5,0,0,0,Ni49.5Ti50.5,Ni99Ti101,NiTi,0.69827515,7.2299016,10.485,2.0247975,53.226068,8.63525,8.48,FALSE,3.015,2.89,4.108,4.647,97.76,B19prime,0.926496838,,0.963447647,0.963447647,1.117227204,0.997271859,28,27.3,84,60,86.6,112,85.65,,,,,,,,https://doi.org/10.2320/jinstmet.72.152,,,100
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.012,2.898,4.108,4.646,97.78,B19prime,0.929408732,,0.964407257,0.964407257,1.118741578,1.002759989,,,,,,,,,,,,,,,https://doi.org/10.1016/j.jallcom.2005.02.031,,,100
0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,49,0,0,0,Ni51.0Ti49.0,Ni51Ti49,NiTi,0.6964447,7.2420768,10.53,2.02419,53.388464,8.5745,8.5,FALSE,,,,,,B19prime,,0.98,,0.98,,,21.9,22.5,-27.05,-50.75,-27.65,-5.15,-27.65,,,,,63.09,56.21,59.65,https://doi.org/10.1016/j.actamat.2010.02.019,,,100
